Month-Year,Portfolio Valuation (In ₹),Changes in ₹,Amt Invested,Gain/Loss,Total Investment
Apr 2024,5000,0,5000,0,5000
May 2024,14096.22,14096.22,9000,96.22,14000
Jun 2024,27618.15,13521.93,12000,1521.93,26000
Jul 2024,41053.63,13435.48,12000,1435.48,38000
Aug 2024,53636.83,12583.2,12000,583.2,50000
Sep 2024,68357.11,14720.28,13000,1720.28,63000
Oct 2024,73206.52,4849.41,8000,-3150.59,71000
Nov 2024,73739.6,533.08,0,533.08,71000
Dec 2024,86411.8,12672.2,13000,-327.8,84000
Jan 2025,95056.7,8644.9,13000,-4355.1,97000
Feb 2025,100210.29,5153.59,13000,-7846.41,110000
Mar 2025,119498,6712.29,13000,-6287.71,123000
